time,memory
0.075,0.35
0.09466666667,0.3433333333
0.08433333333,0.3266666667
0.079,0.2866666667
0.085,0.3166666667
0.084,0.36
0.08366666667,0.31
0.078,0.3533333333
0.087,0.3633333333
0.081,0.3
0.08533333333,0.2566666667
0.09333333333,0.2866666667
0.08866666667,0.32
0.086,0.3666666667
0.083,0.3666666667
0.085,0.2666666667
0.08466666667,0.3733333333
0.092,0.2633333333
0.07566666667,0.3633333333
0.08133333333,0.3466666667
0.083,0.32
0.08233333333,0.35
0.088,0.3433333333
0.08166666667,0.31
0.09533333333,0.3233333333
0.08833333333,0.3366666667
0.08933333333,0.3166666667
0.07966666667,0.3233333333
0.08633333333,0.32
0.08766666667,0.36
0.08,0.2466666667
0.08566666667,0.38
0.08233333333,0.38
0.078,0.3266666667
0.082,0.38
0.08566666667,0.32
0.07766666667,0.3
0.08133333333,0.3166666667
0.07933333333,0.3133333333
0.07966666667,0.3166666667
0.223,0.37
0.1883333333,0.3466666667
0.08166666667,0.31
0.188,0.36
0.1893333333,0.3233333333
0.078,0.3666666667
0.2006666667,0.3366666667
0.2063333333,0.3266666667
0.07666666667,0.3233333333
0.18,0.32
0.185,0.3766666667
0.07766666667,0.3866666667
0.189,0.2833333333
0.1943333333,0.3333333333
0.08333333333,0.3266666667
0.191,0.2966666667
0.192,0.3166666667
0.08166666667,0.3466666667
0.2233333333,0.3366666667
0.2123333333,0.2866666667
0.08066666667,0.3433333333
0.1846666667,0.3433333333
0.179,0.3433333333
0.083,0.3733333333
0.1906666667,0.33
0.1876666667,0.3366666667
0.07766666667,0.3933333333
0.2086666667,0.33
0.189,0.3233333333
0.09766666667,0.3666666667
0.2,0.2966666667
0.19,0.3366666667
0.081,0.38
0.1803333333,0.3066666667
0.1856666667,0.3566666667
0.08633333333,0.3233333333
0.1816666667,0.3066666667
0.211,0.3666666667
0.091,0.27
0.1723333333,0.3433333333
0.166,0.3433333333
0.085,0.3133333333
0.181,0.3366666667
0.1703333333,0.3366666667
0.1786666667,0.3433333333
0.1563333333,0.34
0.1473333333,0.24
0.1916666667,0.29
0.146,0.3233333333
0.1243333333,0.3833333333
0.1756666667,0.34
0.1276666667,0.3033333333
0.1056666667,0.3166666667
